CPF,nome,S,nascimento,relacionamento,depent,salario,gastos,residencia,bairo,resultado
39012345678,Marina,F,02-04-88,S,1,2400,1000,X,Copacabana,A
40123456789,Vinícius,M,06-17-82,C,4,5100,3100,F,Ipanema,A
41234567890,Simone,F,11-25-77,V,6,7200,5000,P,Tijuca,A
42345678901,André,M,04-08-95,S,0,1800,850,A,Botafogo,I
43456789012,Letícia,F,09-15-89,C,2,3600,1700,X,Leblon,A
44567890123,Alex,M,02-02-83,C,1,2900,1200,P,Santa Teresa,A
45678901234,Bianca,F,06-10-78,S,3,4800,2800,A,Jardim Botânico,A
46789012345,Lucas,M,11-21-93,V,4,5500,3500,F,Gávea,A
47890123456,Joana,F,08-05-70,C,5,6500,4500,P,Flamengo,A
48901234567,Rafaela,F,03-19-86,C,2,3100,1400,A,Laranjeiras,A
49012345678,Daniel,M,10-27-76,S,1,2300,1050,X,Catete,I
50123456789,Eduarda,F,01-01-90,V,2,3400,1600,P,Glória,A
51234567890,Ricardo,M,09-16-87,C,4,5200,3500,A,Urca,A
52345678901,Luiza,F,12-29-72,C,5,7000,5000,P,Maracanã,A
53456789012,Leonardo,M,04-04-68,S,6,9000,6000,F,Vila Isabel,A
54567890123,Sofia,F,07-15-81,S,1,2700,1150,A,Grajaú,A
55678901234,Marcelo,M,08-23-96,C,0,1600,750,X,Andaraí,I
56789012345,Lívia,F,06-06-85,C,3,4100,2200,P,Centro,A
57890123456,Vitor,M,03-20-71,V,2,3600,1900,F,Leblon,A
58901234567,Elaine,F,10-12-89,C,4,5800,3800,A,Copacabana,A
59012345678,Diego,M,07-08-78,S,1,2400,1000,P,Ipanema,A
60123456789,Priscila,F,02-14-83,C,3,4600,2700,A,Tijuca,A
61234567890,Renato,M,11-26-91,C,0,1700,850,F,Botafogo,I
62345678901,Lara,F,09-05-73,V,5,7500,5200,P,Leblon,A
63456789012,Bruno,M,12-10-86,C,2,3200,1400,A,Santa Teresa,A
64567890123,Laura,F,04-17-80,S,1,2000,900,X,Jardim Botânico,I
65678901234,Gustavo,M,08-21-90,C,3,4500,2500,F,Gávea,A
66789012345,Fernanda,F,06-03-75,V,4,5000,3000,P,Flamengo,A
67890123456,Thiago,M,01-18-88,C,1,2800,1200,A,Laranjeiras,A
68901234567,Camila,F,07-29-82,S,2,3300,1500,X,Catete,A
69012345678,Alexandre,M,04-11-70,C,5,6200,4200,P,Glória,A
70123456789,Isabel,F,02-23-94,C,0,1900,800,A,Urca,I
71234567890,Rafael,M,05-07-87,V,3,4000,2300,F,Maracanã,A
72345678901,Daniela,F,12-14-79,C,1,2500,1100,P,Vila Isabel,A
73456789012,Caio,M,10-20-85,S,2,3800,2000,A,Grajaú,A
74567890123,Renata,F,08-01-81,C,4,5400,3400,X,Andaraí,A
75678901234,Pedro,M,09-16-92,C,0,1700,750,P,Centro,I
76789012345,Carolina,F,03-24-76,V,5,6800,4800,A,Leblon,A
77890123456,Eduardo,M,01-09-84,S,1,2200,950,F,Copacabana,I
78901234567,Viviane,F,05-13-90,C,3,4300,2600,P,Ipanema,A
79012345678,Gabriel,M,07-28-73,C,2,3000,1300,A,Tijuca,A
80123456789,Marina,F,02-04-88,S,1,2400,1000,X,Botafogo,A
81234567890,Vinícius,M,06-17-82,C,4,5100,3100,F,Leblon,A
82345678901,Simone,F,11-25-77,V,6,7200,5000,P,Santa Teresa,A
83456789012,André,M,04-08-95,S,0,1800,850,A,Jardim Botânico,I
84567890123,Letícia,F,09-15-89,C,2,3600,1700,X,Gávea,A
85678901234,Alex,M,02-02-83,C,1,2900,1200,P,Flamengo,A
86789012345,Bianca,F,06-10-78,S,3,4800,2800,A,Laranjeiras,A
87890123456,Lucas,M,11-21-93,V,4,5500,3500,F,Catete,A
88901234567,Joana,F,08-05-70,C,5,6500,4500,P,Glória,A
89012345678,Rafaela,F,03-19-86,C,2,3100,1400,A,Urca,A
90123456789,Daniel,M,10-27-76,S,1,2300,1050,X,Maracanã,I
91234567890,Eduarda,F,01-01-90,V,2,3400,1600,P,Vila Isabel,A
92345678901,Ricardo,M,09-16-87,C,4,5200,3500,A,Grajaú,A
93456789012,Luiza,F,12-29-72,C,5,7000,5000,P,Andaraí,A
94567890123,Leonardo,M,04-04-68,S,6,9000,6000,F,Centro,A
95678901234,Sofia,F,07-15-81,S,1,2700,1150,A,Leblon,A
96789012345,Marcelo,M,08-23-96,C,0,1600,750,X,Copacabana,I
97890123456,Lívia,F,06-06-85,C,3,4100,2200,P,Ipanema,A
98901234567,Vitor,M,03-20-71,V,2,3600,1900,F,Tijuca,A
99012345678,Elaine,F,10-12-89,C,4,5800,3800,A,Botafogo,A
10012345678,Diego,M,07-08-78,S,1,2400,1000,P,Leblon,A
10123456789,Priscila,F,02-14-83,C,3,4600,2700,A,Santa Teresa,A
10234567890,Renato,M,11-26-91,C,0,1700,850,F,Jardim Botânico,I
10345678901,Lara,F,09-05-73,V,5,7500,5200,P,Gávea,A
10456789012,Bruno,M,12-10-86,C,2,3200,1400,A,Flamengo,A
10567890123,Laura,F,04-17-80,S,1,2000,900,X,Laranjeiras,I
10678901234,Gustavo,M,08-21-90,C,3,4500,2500,F,Catete,A
10789012345,Fernanda,F,06-03-75,V,4,5000,3000,P,Glória,A
10890123456,Thiago,M,01-18-88,C,1,2800,1200,A,Urca,A
10901234567,Camila,F,07-29-82,S,2,3300,1500,X,Maracanã,A
11012345678,Alexandre,M,04-11-70,C,5,6200,4200,P,Vila Isabel,A
11123456789,Isabel,F,02-23-94,C,0,1900,800,A,Grajaú,I
11234567890,Rafael,M,05-07-87,V,3,4000,2300,F,Andaraí,A
11345678901,Daniela,F,12-14-79,C,1,2500,1100,P,Centro,A
11456789012,Caio,M,10-20-85,S,2,3800,2000,A,Leblon,A
11567890123,Renata,F,08-01-81,C,4,5400,3400,X,Copacabana,A
11678901234,Pedro,M,09-16-92,C,0,1700,750,P,Ipanema,I
11789012345,Carolina,F,03-24-76,V,5,6800,4800,A,Tijuca,A
11890123456,Eduardo,M,01-09-84,S,1,2200,950,F,Botafogo,I
11901234567,Viviane,F,05-13-90,C,3,4300,2600,P,Leblon,A
12012345678,Gabriel,M,07-28-73,C,2,3000,1300,A,Santa Teresa,A
12123456789,Marina,F,02-04-88,S,1,2400,1000,X,Jardim Botânico,A
12234567890,Vinícius,M,06-17-82,C,4,5100,3100,F,Gávea,A
12345678901,Simone,F,11-25-77,V,6,7200,5000,P,Flamengo,A
12456789012,André,M,04-08-95,S,0,1800,850,A,Laranjeiras,I
12567890123,Letícia,F,09-15-89,C,2,3600,1700,X,Catete,A
12678901234,Alex,M,02-02-83,C,1,2900,1200,P,Glória,A
12789012345,Bianca,F,06-10-78,S,3,4800,2800,A,Urca,A
12890123456,Lucas,M,11-21-93,V,4,5500,3500,F,Maracanã,A
12901234567,Joana,F,08-05-70,C,5,6500,4500,P,Vila Isabel,A
13012345678,Rafaela,F,03-19-86,C,2,3100,1400,A,Grajaú,A
13123456789,Daniel,M,10-27-76,S,1,2300,1050,X,Andaraí,I
13234567890,Eduarda,F,01-01-90,V,2,3400,1600,P,Centro,A
13345678901,Ricardo,M,09-16-87,C,4,5200,3500,A,Leblon,A
13456789012,Luiza,F,12-29-72,C,5,7000,5000,P,Copacabana,A
13567890123,Leonardo,M,04-04-68,S,6,9000,6000,F,Ipanema,A
13678901234,Sofia,F,07-15-81,S,1,2700,1150,A,Tijuca,A
13789012345,Marcelo,M,08-23-96,C,0,1600,750,X,Botafogo,I
13890123456,Lívia,F,06-06-85,C,3,4100,2200,P,Leblon,A
13901234567,Vitor,M,03-20-71,V,2,3600,1900,F,Santa Teresa,A
14012345678,Elaine,F,10-12-89,C,4,5800,3800,A,Jardim Botânico,A
14123456789,Diego,M,07-08-78,S,1,2400,1000,P,Gávea,A
14234567890,Priscila,F,02-14-83,C,3,4600,2700,A,Flamengo,A
14345678901,Renato,M,11-26-91,C,0,1700,850,F,Laranjeiras,I
14456789012,Lara,F,09-05-73,V,5,7500,5200,P,Catete,A
14567890123,Bruno,M,12-10-86,C,2,3200,1400,A,Glória,A
14678901234,Laura,F,04-17-80,S,1,2000,900,X,Urca,I
14789012345,Gustavo,M,08-21-90,C,3,4500,2500,F,Maracanã,A
14890123456,Fernanda,F,06-03-75,V,4,5000,3000,P,Vila Isabel,A
14901234567,Thiago,M,01-18-88,C,1,2800,1200,A,Grajaú,A
15012345678,Camila,F,07-29-82,S,2,3300,1500,X,Andaraí,A
15123456789,Alexandre,M,04-11-70,C,5,6200,4200,P,Centro,A
15234567890,Isabel,F,02-23-94,C,0,1900,800,A,Leblon,I
15345678901,Rafael,M,05-07-87,V,3,4000,2300,F,Copacabana,A
15456789012,Daniela,F,12-14-79,C,1,2500,1100,P,Ipanema,A
15567890123,Caio,M,10-20-85,S,2,3800,2000,A,Tijuca,A
15678901234,Renata,F,08-01-81,C,4,5400,3400,X,Botafogo,A
15789012345,Pedro,M,09-16-92,C,0,1700,750,P,Leblon,I
15890123456,Carolina,F,03-24-76,V,5,6800,4800,A,Santa Teresa,A
15901234567,Eduardo,M,01-09-84,S,1,2200,950,F,Jardim Botânico,I
16012345678,Viviane,F,05-13-90,C,3,4300,2600,P,Gávea,A
16123456789,Gabriel,M,07-28-73,C,2,3000,1300,A,Flamengo,A
16234567890,Marina,F,02-04-88,S,1,2400,1000,X,Laranjeiras,A
16345678901,Vinícius,M,06-17-82,C,4,5100,3100,F,Catete,A
16456789012,Simone,F,11-25-77,V,6,7200,5000,P,Glória,A
16567890123,André,M,04-08-95,S,0,1800,850,A,Urca,I
16678901234,Letícia,F,09-15-89,C,2,3600,1700,X,Maracanã,A
16789012345,Alex,M,02-02-83,C,1,2900,1200,P,Vila Isabel,A
16890123456,Bianca,F,06-10-78,S,3,4800,2800,A,Grajaú,A
16901234567,Lucas,M,11-21-93,V,4,5500,3500,F,Andaraí,A
17012345678,Joana,F,08-05-70,C,5,6500,4500,P,Centro,A
17123456789,Rafaela,F,03-19-86,C,2,3100,1400,A,Leblon,A
17234567890,Daniel,M,10-27-76,S,1,2300,1050,X,Copacabana,I
17345678901,Eduarda,F,01-01-90,V,2,3400,1600,P,Ipanema,A
17456789012,Ricardo,M,09-16-87,C,4,5200,3500,A,Tijuca,A
17567890123,Luiza,F,12-29-72,C,5,7000,5000,P,Botafogo,A
17678901234,Leonardo,M,04-04-68,S,6,9000,6000,F,Leblon,A
17789012345,Sofia,F,07-15-81,S,1,2700,1150,A,Santa Teresa,A
17890123456,Marcelo,M,08-23-96,C,0,1600,750,X,Jardim Botânico,I
17901234567,Lívia,F,06-06-85,C,3,4100,2200,P,Gávea,A
18012345678,Vitor,M,03-20-71,V,2,3600,1900,F,Flamengo,A
18123456789,Elaine,F,10-12-89,C,4,5800,3800,A,Laranjeiras,A
18234567890,Diego,M,07-08-78,S,1,2400,1000,P,Catete,A
18345678901,Priscila,F,02-14-83,C,3,4600,2700,A,Glória,A
18456789012,Renato,M,11-26-91,C,0,1700,850,F,Urca,I
18567890123,Lara,F,09-05-73,V,5,7500,5200,P,Maracanã,A
18678901234,Bruno,M,12-10-86,C,2,3200,1400,A,Vila Isabel,A
18789012345,Laura,F,04-17-80,S,1,2000,900,X,Grajaú,I
18890123456,Gustavo,M,08-21-90,C,3,4500,2500,F,Andaraí,A
18901234567,Fernanda,F,06-03-75,V,4,5000,3000,P,Centro,A
19012345678,Thiago,M,01-18-88,C,1,2800,1200,A,Leblon,A
,,,,,,,,,,

